epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,201.302,0.50082,0.35425,0.79002,0.93785,0.94604,0.91649,0.41938,1.5235,0.56668,1.22569,0.000456875,0.000456875,0.000456875
143,202.588,0.48518,0.34057,0.78809,0.93827,0.94604,0.91602,0.41506,1.53923,0.5721,1.23578,0.00045125,0.00045125,0.00045125
144,203.916,0.505,0.35895,0.78641,0.94473,0.95236,0.92491,0.42976,1.49289,0.56113,1.21406,0.000445625,0.000445625,0.000445625
145,205.281,0.49235,0.3407,0.78444,0.94757,0.9553,0.92993,0.42825,1.49634,0.56355,1.21879,0.00044,0.00044,0.00044
146,206.709,0.4784,0.33245,0.79387,0.94307,0.95085,0.92152,0.41813,1.51276,0.57689,1.23145,0.000434375,0.000434375,0.000434375
147,208.117,0.46985,0.3306,0.79116,0.94303,0.95085,0.92064,0.4201,1.51127,0.58636,1.2315,0.00042875,0.00042875,0.00042875
148,209.511,0.49685,0.34609,0.79106,0.94335,0.95126,0.92537,0.4257,1.501,0.57813,1.22356,0.000423125,0.000423125,0.000423125
149,210.834,0.50704,0.34674,0.78939,0.93389,0.94188,0.90788,0.419,1.51764,0.57219,1.2342,0.0004175,0.0004175,0.0004175
150,212.337,0.50974,0.34423,0.78549,0.94631,0.95415,0.92802,0.43195,1.5027,0.55783,1.22202,0.000411875,0.000411875,0.000411875
151,213.651,0.49943,0.34911,0.78984,0.94994,0.95776,0.93213,0.43568,1.4858,0.55193,1.20959,0.00040625,0.00040625,0.00040625
152,214.969,0.46763,0.34587,0.78532,0.94144,0.94852,0.91708,0.41088,1.52573,0.55804,1.24,0.000400625,0.000400625,0.000400625
153,216.264,0.49718,0.3467,0.78687,0.94476,0.95374,0.92541,0.4101,1.51937,0.55719,1.23541,0.000395,0.000395,0.000395
154,217.582,0.50032,0.35048,0.78667,0.95188,0.9627,0.94055,0.42081,1.49948,0.55541,1.22429,0.000389375,0.000389375,0.000389375
155,218.883,0.50032,0.34921,0.78658,0.94281,0.95422,0.92455,0.41186,1.51712,0.56325,1.23266,0.00038375,0.00038375,0.00038375
156,220.24,0.48929,0.33576,0.78628,0.93674,0.94948,0.91513,0.40496,1.54291,0.57942,1.24455,0.000378125,0.000378125,0.000378125
157,221.557,0.4934,0.3433,0.78996,0.93765,0.94891,0.91359,0.40709,1.53125,0.5726,1.23948,0.0003725,0.0003725,0.0003725
158,222.849,0.47953,0.33865,0.78995,0.93455,0.94636,0.91183,0.40912,1.52223,0.56213,1.23161,0.000366875,0.000366875,0.000366875
159,224.229,0.49565,0.34998,0.78798,0.93494,0.94658,0.91174,0.41542,1.51144,0.55826,1.22378,0.00036125,0.00036125,0.00036125
160,225.74,0.47959,0.34107,0.7825,0.93999,0.95007,0.91642,0.41053,1.53133,0.56679,1.2409,0.000355625,0.000355625,0.000355625
161,227.047,0.48356,0.33977,0.79282,0.94086,0.95007,0.91698,0.41189,1.52906,0.56249,1.24181,0.00035,0.00035,0.00035
162,228.373,0.50253,0.34318,0.78912,0.94249,0.95085,0.91788,0.41963,1.51055,0.5567,1.23382,0.000344375,0.000344375,0.000344375
163,229.701,0.48401,0.36038,0.79591,0.94622,0.9541,0.92133,0.42329,1.5011,0.55063,1.22537,0.00033875,0.00033875,0.00033875
164,231.051,0.48622,0.3363,0.78494,0.9429,0.95081,0.91974,0.42044,1.49623,0.54878,1.22155,0.000333125,0.000333125,0.000333125
165,232.37,0.49461,0.3447,0.78704,0.94313,0.95081,0.91801,0.41743,1.50467,0.54616,1.22859,0.0003275,0.0003275,0.0003275
166,233.692,0.47251,0.33608,0.78802,0.9417,0.9493,0.91406,0.41231,1.51344,0.552,1.23456,0.000321875,0.000321875,0.000321875
167,235.033,0.50579,0.34183,0.78677,0.94246,0.95007,0.91575,0.41012,1.52615,0.55165,1.24084,0.00031625,0.00031625,0.00031625
168,236.384,0.51034,0.34211,0.78449,0.95264,0.96043,0.93439,0.42527,1.49444,0.54506,1.22272,0.000310625,0.000310625,0.000310625
169,237.697,0.49005,0.33653,0.7844,0.94796,0.95562,0.92717,0.41991,1.50577,0.5553,1.22732,0.000305,0.000305,0.000305
170,239.205,0.49371,0.33627,0.7872,0.94561,0.95333,0.92196,0.41179,1.52136,0.56072,1.23522,0.000299375,0.000299375,0.000299375
171,240.56,0.4866,0.33198,0.79076,0.94551,0.95333,0.92222,0.41014,1.51916,0.57004,1.23446,0.00029375,0.00029375,0.00029375
172,241.944,0.4846,0.33379,0.78719,0.94615,0.9541,0.92427,0.41358,1.50664,0.56193,1.22993,0.000288125,0.000288125,0.000288125
